ts_code,name,trade_date,open,close,vol,pe,pb
801001.SI,申万50,20230103,3069.39,3079.53,282713.0,12.52,2.14
801002.SI,申万中小,20230103,6747.56,6862.31,1812528.0,19.41,2.5
801003.SI,申万Ａ指,20230103,3684.53,3731.52,6665881.0,14.77,1.8
801005.SI,申万创业,20230103,2682.74,2731.7,926038.0,34.79,3.74
801010.SI,农林牧渔,20230103,3283.07,3265.29,151637.0,97.28,3.06
801012.SI,农产品加工,20230103,2496.96,2494.92,19877.0,43.29,2.3
801014.SI,饲料,20230103,5731.82,5696.42,27304.0,81.34,3.36
801015.SI,渔业,20230103,950.68,940.14,17687.0,136.51,2.35
801016.SI,种植业,20230103,2910.75,2934.43,32037.0,53.92,3.19
801017.SI,养殖业,20230103,3659.36,3612.88,43939.0,611.67,3.37
801018.SI,动物保健Ⅱ,20230103,5013.6,5084.97,4616.0,46.06,2.54
801030.SI,基础化工,20230103,4050.65,4109.2,251979.0,14.29,2.27
801032.SI,化学纤维,20230103,4135.39,4180.12,18847.0,17.5,1.64
801033.SI,化学原料,20230103,3091.33,3134.56,54478.0,11.72,1.64
801034.SI,化学制品,20230103,6607.07,6702.12,82326.0,16.87,2.61
801036.SI,塑料,20230103,3084.4,3153.2,34297.0,31.39,2.3
801037.SI,橡胶,20230103,5308.3,5429.83,6078.0,41.64,3.05
801038.SI,农化制品,20230103,4914.83,4965.76,53725.0,9.85,2.43
801039.SI,非金属材料Ⅱ,20230103,7086.45,7252.81,2228.0,35.34,6.44
801040.SI,钢铁,20230103,2283.34,2311.89,88165.0,16.58,1.0
801043.SI,冶钢原料,20230103,3183.92,3236.52,16510.0,15.16,1.97
801044.SI,普钢,20230103,2051.39,2067.02,60245.0,16.45,0.74
801045.SI,特钢Ⅱ,20230103,4639.09,4735.38,11411.0,18.05,1.85
801050.SI,有色金属,20230103,4575.8,4705.32,221260.0,14.49,2.55
801051.SI,金属新材料,20230103,6470.32,6649.57,21410.0,29.58,3.16
801053.SI,贵金属,20230103,11103.88,11443.69,31439.0,38.35,2.56
801054.SI,小金属,20230103,16472.38,16988.43,42925.0,19.42,3.24
801055.SI,工业金属,20230103,1447.39,1488.99,106037.0,13.92,1.88
801056.SI,能源金属,20230103,19943.17,20447.17,19449.0,10.15,3.61
801072.SI,通用设备,20230103,4598.48,4715.73,109487.0,35.75,2.47
801074.SI,专用设备,20230103,7545.3,7745.78,119493.0,26.3,2.27
801076.SI,轨交设备Ⅱ,20230103,4983.07,5047.18,16513.0,17.55,1.1
801077.SI,工程机械,20230103,15769.66,15828.12,20543.0,27.74,1.82
801078.SI,自动化设备,20230103,11721.39,11943.02,29852.0,40.23,4.33
801080.SI,电子,20230103,3485.13,3554.59,288508.0,29.22,2.64
801081.SI,半导体,20230103,4046.78,4118.19,39701.0,35.95,4.23
801082.SI,其他电子Ⅱ,20230103,7960.23,8179.86,20125.0,23.79,2.72
801083.SI,元件,20230103,4883.89,4997.78,45219.0,27.02,2.76
801084.SI,光学光电子,20230103,1193.81,1219.4,98600.0,28.58,1.47
801085.SI,消费电子,20230103,4879.86,4967.29,73565.0,23.27,2.7
801086.SI,电子化学品Ⅱ,20230103,4974.97,5095.91,11298.0,38.79,3.67
801092.SI,汽车服务,20230103,683.55,692.38,24137.0,32.32,1.11
801093.SI,汽车零部件,20230103,5395.26,5483.93,136428.0,29.6,2.09
801095.SI,乘用车,20230103,15828.64,16065.95,30264.0,30.38,2.51
801096.SI,商用车,20230103,4375.89,4441.2,43780.0,133.6,1.72
801101.SI,计算机设备,20230103,2064.91,2115.17,84801.0,29.78,2.8
801102.SI,通信设备,20230103,1768.61,1830.96,96057.0,26.25,2.43
801103.SI,IT服务Ⅱ,20230103,3794.25,4006.55,201434.0,47.96,2.55
801104.SI,软件开发,20230103,5997.9,6312.5,157756.0,88.87,4.49
801110.SI,家用电器,20230103,6499.33,6511.72,75284.0,13.39,2.4
801111.SI,白色家电,20230103,14012.17,14000.4,13856.0,10.69,2.31
801112.SI,黑色家电,20230103,1141.27,1167.43,10833.0,21.15,1.32
801113.SI,小家电,20230103,5270.8,5325.41,5578.0,22.89,3.75
801114.SI,厨卫电器,20230103,11501.08,11500.0,4923.0,20.98,2.35
801115.SI,照明设备Ⅱ,20230103,3863.29,3899.77,6260.0,38.23,1.87
801116.SI,家电零部件Ⅱ,20230103,4171.84,4166.56,25717.0,32.56,4.23
801120.SI,食品饮料,20230103,22958.03,22685.87,190632.0,33.95,6.53
801124.SI,食品加工,20230103,19532.24,19333.59,28787.0,30.98,3.58
801125.SI,白酒Ⅱ,20230103,65492.7,64832.32,18262.0,33.66,8.47
801126.SI,非白酒,20230103,5767.25,5634.33,26468.0,55.03,4.48
801127.SI,饮料乳品,20230103,7986.81,7890.76,42371.0,25.19,3.68
801128.SI,休闲食品,20230103,2657.3,2597.3,42821.0,47.92,4.06
801129.SI,调味发酵品Ⅱ,20230103,10164.84,9985.88,31923.0,46.09,6.83
801130.SI,纺织服饰,20230103,1571.54,1595.26,123049.0,23.07,1.76
801131.SI,纺织制造,20230103,1725.77,1753.85,37230.0,21.96,1.62
801132.SI,服装家纺,20230103,1486.71,1503.96,57851.0,23.41,1.72
801133.SI,饰品,20230103,1542.42,1577.65,27969.0,24.31,2.24
801140.SI,轻工制造,20230103,2328.65,2339.22,128373.0,30.64,2.0
801141.SI,包装印刷,20230103,2605.35,2637.27,53121.0,31.7,2.09
801142.SI,家居用品,20230103,1986.03,1983.88,34914.0,28.52,2.39
801143.SI,造纸,20230103,2393.09,2405.98,24334.0,25.89,1.26
801145.SI,文娱用品,20230103,1951.11,1958.32,16004.0,61.9,4.33
801150.SI,医药生物,20230103,9109.48,9182.31,555587.0,23.69,3.18
801151.SI,化学制药,20230103,10532.76,10592.43,205719.0,32.69,2.94
801152.SI,生物制品,20230103,8826.78,8980.87,50125.0,28.35,3.39
801153.SI,医疗器械,20230103,7846.36,7885.85,48379.0,13.5,3.38
801154.SI,医药商业,20230103,6388.36,6620.03,39316.0,21.52,1.81
801155.SI,中药Ⅱ,20230103,7234.64,7323.42,163082.0,22.09,2.75
801156.SI,医疗服务,20230103,8610.11,8560.22,48966.0,31.48,5.21
801160.SI,公用事业,20230103,2197.3,2238.66,272243.0,24.94,1.63
801161.SI,电力,20230103,2915.84,2973.33,258198.0,25.54,1.6
801163.SI,燃气Ⅱ,20230103,2551.94,2577.93,14045.0,20.26,1.96
801170.SI,交通运输,20230103,2364.07,2364.08,260979.0,11.69,1.43
801178.SI,物流,20230103,5800.93,5837.56,59104.0,16.77,1.75
801179.SI,铁路公路,20230103,1477.23,1471.82,67287.0,15.36,0.93
801180.SI,房地产,20230103,2998.62,3028.61,331552.0,13.2,0.88
801181.SI,房地产开发,20230103,3485.62,3519.05,319689.0,12.89,0.87
801183.SI,房地产服务,20230103,1077.49,1101.17,11863.0,42.87,1.6
801191.SI,多元金融,20230103,1014.89,1027.5,67189.0,17.45,0.98
801193.SI,证券Ⅱ,20230103,5033.69,5060.99,187117.0,18.5,1.16
801194.SI,保险Ⅱ,20230103,1006.24,1013.4,21783.0,10.27,1.13
801200.SI,商贸零售,20230103,2866.25,2851.84,347756.0,39.07,2.35
801202.SI,贸易Ⅱ,20230103,4036.76,4099.46,18912.0,21.35,1.05
801203.SI,一般零售,20230103,3122.73,3094.53,250984.0,27.94,1.47
801204.SI,专业连锁Ⅱ,20230103,4408.8,4434.37,7607.0,28.2,3.14
801206.SI,互联网电商,20230103,14701.17,14912.82,69373.0,55.95,2.86
801210.SI,社会服务,20230103,10751.52,10722.73,173781.0,119.32,3.58
801218.SI,专业服务,20230103,7125.16,7194.36,6521.0,42.99,4.02
801219.SI,酒店餐饮,20230103,3534.95,3485.09,33670.0,381.2,3.72
801223.SI,通信服务,20230103,1571.57,1670.6,155013.0,24.23,1.34
801230.SI,综合,20230103,3015.43,3028.17,33886.0,47.54,1.96
801231.SI,综合Ⅱ,20230103,3012.57,3025.3,33886.0,47.54,1.96
801250.SI,申万制造,20230103,4271.32,4354.69,1348814.0,26.11,3.63
801260.SI,申万消费,20230103,7056.81,7055.7,1182157.0,21.41,4.3
801270.SI,申万投资,20230103,3426.47,3481.66,1127800.0,9.17,2.06
801280.SI,申万服务,20230103,2376.34,2410.63,2973224.0,9.57,1.44
801300.SI,申万300指数,20230103,2895.59,2918.95,1256029.0,14.49,1.98
801710.SI,建筑材料,20230103,6029.48,6080.48,68098.0,14.03,1.6
801711.SI,水泥,20230103,5265.49,5315.01,25124.0,8.81,0.9
801712.SI,玻璃玻纤,20230103,10696.65,10966.15,19361.0,13.3,2.39
801713.SI,装修建材,20230103,6965.95,6949.54,23614.0,29.21,2.81
801720.SI,建筑装饰,20230103,1993.05,2024.62,225038.0,9.14,0.86
801721.SI,房屋建设Ⅱ,20230103,3439.12,3469.71,29073.0,4.89,0.66
801722.SI,装修装饰Ⅱ,20230103,4152.45,4221.19,19583.0,543.03,1.71
801723.SI,基础建设,20230103,2194.49,2224.55,115957.0,8.32,0.71
801724.SI,专业工程,20230103,1777.43,1821.27,51466.0,16.09,1.35
801726.SI,工程咨询服务Ⅱ,20230103,1595.67,1622.56,8959.0,21.79,1.52
801730.SI,电力设备,20230103,9330.67,9474.1,287793.0,27.27,3.68
801731.SI,电机Ⅱ,20230103,7996.33,8179.76,7163.0,28.0,2.27
801733.SI,其他电源设备Ⅱ,20230103,26213.75,27181.13,27697.0,50.04,2.27
801735.SI,光伏设备,20230103,10654.16,10812.2,58525.0,24.94,5.1
801736.SI,风电设备,20230103,2661.37,2783.17,33205.0,25.61,2.36
801737.SI,电池,20230103,19698.26,19791.64,61482.0,32.36,4.69
801738.SI,电网设备,20230103,3699.56,3783.19,99721.0,20.86,2.38
801740.SI,国防军工,20230103,1477.39,1517.5,94692.0,52.32,3.32
801741.SI,航天装备Ⅱ,20230103,11211.14,11519.45,6928.0,46.13,2.42
801742.SI,航空装备Ⅱ,20230103,9443.62,9681.43,29234.0,57.3,4.26
801743.SI,地面兵装Ⅱ,20230103,13153.55,13448.39,11253.0,43.54,2.71
801744.SI,航海装备Ⅱ,20230103,2157.5,2212.06,19401.0,129.23,1.64
801745.SI,军工电子Ⅱ,20230103,5247.25,5410.59,27875.0,41.44,3.84
801750.SI,计算机,20230103,3876.49,4056.8,443992.0,50.57,3.23
801760.SI,传媒,20230103,540.71,554.78,454655.0,32.67,1.98
801764.SI,游戏Ⅱ,20230103,1668.88,1708.58,119557.0,29.92,2.08
801765.SI,广告营销,20230103,2192.7,2252.45,104726.0,34.43,2.77
801766.SI,影视院线,20230103,1096.09,1106.21,81077.0,133.82,2.46
801767.SI,数字媒体,20230103,1710.64,1817.38,38180.0,54.92,3.41
